sound_id,source_url,name,username,license,duration,samplerate,channels,type,tags,description,genre_inferred,bpm,key,acoustic_electronic,voice_instrumental,music_proxy_pass,duration_pass,license_pass,analysis_available,reason
479,https://freesound.org/people/deleted_user_270/sounds/479/,DjembeCheapMicSessionUno(23).wav,deleted_user_270,http://creativecommons.org/licenses/by/3.0/,10.6131,44100.0,2,wav,"[""beat"", ""beat-box"", ""beatbox"", ""box"", ""djembe"", ""resonance"", ""resonant""]",Sounds of beatboxing into a plastic djembe recorded with a cheap plastic toy microphone. ,,,,,,false,false,true,true,"duration,music_proxy"
480,https://freesound.org/people/deleted_user_270/sounds/480/,DjembeCheapMicSessionUno(24).wav,deleted_user_270,http://creativecommons.org/licenses/by/3.0/,0.553016,44100.0,2,wav,"[""beat"", ""beat-box"", ""beatbox"", ""box"", ""djembe"", ""resonance"", ""resonant""]",Sounds of beatboxing into a plastic djembe recorded with a cheap plastic toy microphone. ,,,,,,false,false,true,true,"duration,music_proxy"
481,https://freesound.org/people/deleted_user_270/sounds/481/,DjembeCheapMicSessionUno(25).wav,deleted_user_270,http://creativecommons.org/licenses/by/3.0/,6.35939,44100.0,2,wav,"[""beat"", ""beat-box"", ""beatbox"", ""box"", ""djembe"", ""resonance"", ""resonant""]",Sounds of beatboxing into a plastic djembe recorded with a cheap plastic toy microphone. ,,,,,,false,false,true,true,"duration,music_proxy"
482,https://freesound.org/people/deleted_user_270/sounds/482/,DjembeCheapMicSessionUno(26).wav,deleted_user_270,http://creativecommons.org/licenses/by/3.0/,3.72932,44100.0,2,wav,"[""beat"", ""beat-box"", ""beatbox"", ""box"", ""djembe"", ""resonance"", ""resonant""]",Sounds of beatboxing into a plastic djembe recorded with a cheap plastic toy microphone. ,,,,,,false,false,true,true,"duration,music_proxy"
483,https://freesound.org/people/deleted_user_270/sounds/483/,DjembeCheapMicSessionUno(27).wav,deleted_user_270,http://creativecommons.org/licenses/by/3.0/,9.73939,44100.0,2,wav,"[""beat"", ""beat-box"", ""beatbox"", ""box"", ""djembe"", ""resonance"", ""resonant""]",Sounds of beatboxing into a plastic djembe recorded with a cheap plastic toy microphone. ,,,,,,false,false,true,true,"duration,music_proxy"
484,https://freesound.org/people/deleted_user_270/sounds/484/,DjembeCheapMicSessionUno(28).wav,deleted_user_270,http://creativecommons.org/licenses/by/3.0/,0.502313,44100.0,2,wav,"[""beat"", ""beat-box"", ""beatbox"", ""box"", ""djembe"", ""resonance"", ""resonant""]",Sounds of beatboxing into a plastic djembe recorded with a cheap plastic toy microphone. ,,,,,,false,false,true,true,"duration,music_proxy"
485,https://freesound.org/people/deleted_user_270/sounds/485/,DjembeCheapMicSessionUno(29).wav,deleted_user_270,http://creativecommons.org/licenses/by/3.0/,1.07154,44100.0,2,wav,"[""beat"", ""beat-box"", ""beatbox"", ""box"", ""djembe"", ""resonance"", ""resonant""]",Sounds of beatboxing into a plastic djembe recorded with a cheap plastic toy microphone. ,,,,,,false,false,true,true,"duration,music_proxy"
486,https://freesound.org/people/deleted_user_270/sounds/486/,DjembeCheapMicSessionUno(30).wav,deleted_user_270,http://creativecommons.org/licenses/by/3.0/,0.502313,44100.0,2,wav,"[""beat"", ""beat-box"", ""beatbox"", ""box"", ""djembe"", ""resonance"", ""resonant""]",Sounds of beatboxing into a plastic djembe recorded with a cheap plastic toy microphone. ,,,,,,false,false,true,true,"duration,music_proxy"
487,https://freesound.org/people/deleted_user_270/sounds/487/,DjembeCheapMicSessionUno(31).wav,deleted_user_270,http://creativecommons.org/licenses/by/3.0/,0.502562,44100.0,2,wav,"[""beat"", ""beat-box"", ""beatbox"", ""box"", ""djembe"", ""resonance"", ""resonant""]",Sounds of beatboxing into a plastic djembe recorded with a cheap plastic toy microphone. ,,,,,,false,false,true,true,"duration,music_proxy"
488,https://freesound.org/people/deleted_user_270/sounds/488/,DjembeCheapMicSessionUno(32).wav,deleted_user_270,http://creativecommons.org/licenses/by/3.0/,0.502313,44100.0,2,wav,"[""beat"", ""beat-box"", ""beatbox"", ""box"", ""djembe"", ""resonance"", ""resonant""]",Sounds of beatboxing into a plastic djembe recorded with a cheap plastic toy microphone. ,,,,,,false,false,true,true,"duration,music_proxy"
